0.2,2.1959,0,0.53931,1.3181,0.50099
0.201,2.196,0,0.5393,1.3177,0.50086
0.202,2.1962,0,0.53929,1.3173,0.50074
0.203,2.1963,0,0.53928,1.3169,0.50061
0.204,2.1964,0,0.53927,1.3165,0.50049
0.205,2.1965,0,0.53927,1.316,0.50037
0.206,2.1967,0,0.53926,1.3156,0.50024
0.207,2.1968,0,0.53925,1.3152,0.50012
0.208,2.1969,0,0.53924,1.3148,0.49999
0.209,2.197,0,0.53923,1.3144,0.49987
0.21,2.1971,0,0.53922,1.314,0.49975
0.211,2.1972,0,0.53922,1.3135,0.49962
0.212,2.1973,0,0.53921,1.3131,0.4995
0.213,2.1974,0,0.5392,1.3127,0.49937
0.214,2.1975,0,0.5392,1.3123,0.49925
0.215,2.1976,0,0.53919,1.3119,0.49913
0.216,2.1977,0,0.53918,1.3115,0.499
0.217,2.1978,0,0.53918,1.3111,0.49888
0.218,2.1978,0,0.53917,1.3106,0.49875
0.219,2.1979,0,0.53916,1.3102,0.49863
0.22,2.198,0,0.53916,1.3098,0.49851
0.221,2.1981,0,0.53915,1.3094,0.49838
0.222,2.1982,0,0.53915,1.309,0.49826
0.223,2.1982,0,0.53914,1.3086,0.49814
0.224,2.1983,0,0.53914,1.3081,0.49801
0.225,2.1984,0,0.53913,1.3077,0.49789
0.226,2.1984,0,0.53913,1.3073,0.49776
0.227,2.1985,0,0.53912,1.3069,0.49764
0.228,2.1986,0,0.53912,1.3065,0.49752
0.229,2.1986,0,0.53911,1.3061,0.49739
0.23,2.1987,0,0.53911,1.3057,0.49727
0.231,2.1987,0,0.53911,1.3052,0.49714
0.232,2.1988,0,0.5391,1.3048,0.49702
0.233,2.1988,0,0.5391,1.3044,0.4969
0.234,2.1989,0,0.53909,1.304,0.49677
0.235,2.1989,0,0.53909,1.3036,0.49665
0.236,2.199,0,0.53909,1.3032,0.49652
0.237,2.199,0,0.53908,1.3027,0.4964
0.238,2.1991,0,0.53908,1.3023,0.49628
0.239,2.1991,0,0.53908,1.3019,0.49615
0.24,2.1992,0,0.53907,1.3015,0.49603
0.241,2.1992,0,0.53907,1.3011,0.4959
0.242,2.1992,0,0.53907,1.3007,0.49578
0.243,2.1993,0,0.53907,1.3003,0.49566
0.244,2.1993,0,0.53906,1.2998,0.49553
0.245,2.1994,0,0.53906,1.2994,0.49541
0.246,2.1994,0,0.53906,1.299,0.49528
0.247,2.1994,0,0.53905,1.2986,0.49516
0.248,2.1995,0,0.53905,1.2982,0.49504
0.249,2.1995,0,0.53905,1.2978,0.49491
0.25,2.1995,0,0.53905,1.2974,0.49479
0.251,2.1996,0,0.53905,1.2969,0.49467
0.252,2.1996,0,0.53904,1.2965,0.49454
0.253,2.1996,0,0.53904,1.2961,0.49442
0.254,2.1996,0,0.53904,1.2957,0.49429
0.255,2.1997,0,0.53904,1.2953,0.49417
0.256,2.1997,0,0.53904,1.2949,0.49405
0.257,2.1997,0,0.53903,1.2944,0.49392
0.258,2.1997,0,0.53903,1.294,0.4938
0.259,2.1998,0,0.53903,1.2936,0.49367
0.26,2.1998,0,0.53903,1.2932,0.49355
0.261,2.1998,0,0.53903,1.2928,0.49343
0.262,2.1998,0,0.53902,1.2924,0.4933
0.263,2.1999,0,0.53902,1.292,0.49318
0.264,2.1999,0,0.53902,1.2915,0.49305
0.265,2.1999,0,0.53902,1.2911,0.49293
0.266,2.1999,0,0.53902,1.2907,0.49281
0.267,2.1999,0,0.53902,1.2903,0.49268
0.268,2.2,0,0.53902,1.2899,0.49256
0.269,2.2,0,0.53901,1.2895,0.49243
0.27,2.2,0,0.53901,1.2891,0.49231
0.271,2.2,0,0.53901,1.2886,0.49219
0.272,2.2,0,0.53901,1.2882,0.49206
0.273,2.2,0,0.53901,1.2878,0.49194
0.274,2.2,0,0.53901,1.2874,0.49182
0.275,2.2001,0,0.53901,1.287,0.49169
0.276,2.2001,0,0.53901,1.2866,0.49157
0.277,2.2001,0,0.53901,1.2861,0.49144
0.278,2.2001,0,0.539,1.2857,0.49132
0.279,2.2001,0,0.539,1.2853,0.4912
0.28,2.2001,0,0.539,1.2849,0.49107
0.281,2.2001,0,0.539,1.2845,0.49095
0.282,2.2002,0,0.539,1.2841,0.49082
0.283,2.2002,0,0.539,1.2837,0.4907
0.284,2.2002,0,0.539,1.2832,0.49058
0.285,2.2002,0,0.539,1.2828,0.49045
0.286,2.2002,0,0.539,1.2824,0.49033
0.287,2.2002,0,0.539,1.282,0.4902
0.288,2.2002,0,0.539,1.2816,0.49008
0.289,2.2002,0,0.539,1.2812,0.48996
0.29,2.2002,0,0.539,1.2807,0.48983
0.291,2.2002,0,0.53899,1.2803,0.48971
0.292,2.2003,0,0.53899,1.2799,0.48959
0.293,2.2003,0,0.53899,1.2795,0.48946
0.294,2.2003,0,0.53899,1.2791,0.48934
0.295,2.2003,0,0.53899,1.2787,0.48921
0.296,2.2003,0,0.53899,1.2783,0.48909
0.297,2.2003,0,0.53899,1.2778,0.48897
0.298,2.2003,0,0.53899,1.2774,0.48884
0.299,2.2003,0,0.53899,1.277,0.48872
0.3,2.2003,0,0.53899,1.2766,0.48859
0.301,2.2003,0,0.53899,1.2762,0.48847
0.302,2.2003,0,0.53899,1.2758,0.48835
0.303,2.2003,0,0.53899,1.2754,0.48822
0.304,2.2003,0,0.53899,1.2749,0.4881
0.305,2.2003,0,0.53899,1.2745,0.48797
0.306,2.2004,0,0.53899,1.2741,0.48785
0.307,2.2004,0,0.53899,1.2737,0.48773
0.308,2.2004,0,0.53899,1.2733,0.4876
0.309,2.2004,0,0.53899,1.2729,0.48748
0.31,2.2004,0,0.53899,1.2724,0.48735
0.311,2.2004,0,0.53898,1.272,0.48723
0.312,2.2004,0,0.53898,1.2716,0.48711
0.313,2.2004,0,0.53898,1.2712,0.48698
0.314,2.2004,0,0.53898,1.2708,0.48686
0.315,2.2004,0,0.53898,1.2704,0.48674
0.316,2.2004,0,0.53898,1.27,0.48661
0.317,2.2004,0,0.53898,1.2695,0.48649
0.318,2.2004,0,0.53898,1.2691,0.48636
0.319,2.2004,0,0.53898,1.2687,0.48624
0.32,2.2004,0,0.53898,1.2683,0.48612
0.321,2.2004,0,0.53898,1.2679,0.48599
0.322,2.2004,0,0.53898,1.2675,0.48587
0.323,2.2004,0,0.53898,1.2671,0.48574
0.324,2.2004,0,0.53898,1.2666,0.48562
0.325,2.2004,0,0.53898,1.2662,0.4855
0.326,2.2004,0,0.53898,1.2658,0.48537
0.327,2.2004,0,0.53898,1.2654,0.48525
0.328,2.2004,0,0.53898,1.265,0.48512
0.329,2.2004,0,0.53898,1.2646,0.485
0.33,2.2005,0,0.53898,1.2641,0.48488
0.331,2.2005,0,0.53898,1.2637,0.48475
0.332,2.2005,0,0.53898,1.2633,0.48463
0.333,2.2005,0,0.53898,1.2629,0.48451
0.334,2.2005,0,0.53898,1.2625,0.48438
0.335,2.2005,0,0.53898,1.2621,0.48426
0.336,2.2005,0,0.53898,1.2617,0.48413
0.337,2.2005,0,0.53898,1.2612,0.48401
0.338,2.2005,0,0.53898,1.2608,0.48389
0.339,2.2005,0,0.53898,1.2604,0.48376
0.34,2.2005,0,0.53898,1.26,0.48364
0.341,2.2005,0,0.53898,1.2596,0.48351
0.342,2.2005,0,0.53898,1.2592,0.48339
0.343,2.2005,0,0.53898,1.2587,0.48327
0.344,2.2005,0,0.53898,1.2583,0.48314
0.345,2.2005,0,0.53898,1.2579,0.48302
0.346,2.2005,0,0.53898,1.2575,0.48289
0.347,2.2005,0,0.53898,1.2571,0.48277
0.348,2.2005,0,0.53898,1.2567,0.48265
0.349,2.2005,0,0.53898,1.2563,0.48252
0.35,2.2005,0,0.53898,1.2558,0.4824
0.351,2.2005,0,0.53898,1.2554,0.48228
0.352,2.2005,0,0.53898,1.255,0.48215
0.353,2.2005,0,0.53898,1.2546,0.48203
0.354,2.2005,0,0.53898,1.2542,0.4819
0.355,2.2005,0,0.53898,1.2538,0.48178
0.356,2.2005,0,0.53898,1.2534,0.48166
0.357,2.2005,0,0.53898,1.2529,0.48153
0.358,2.2005,0,0.53898,1.2525,0.48141
0.359,2.2005,0,0.53898,1.2521,0.48128
0.36,2.2005,0,0.53898,1.2517,0.48116
0.361,2.2005,0,0.53898,1.2513,0.48104
0.362,2.2005,0,0.53898,1.2509,0.48091
0.363,2.2005,0,0.53898,1.2504,0.48079
0.364,2.2005,0,0.53898,1.25,0.48066
0.365,2.2005,0,0.53898,1.2496,0.48054
0.366,2.2005,0,0.53898,1.2492,0.48042
0.367,2.2005,0,0.53898,1.2488,0.48029
